enhancerID,enhancerName,chromosomeNumberAsReported,startAsReported,endAsReported,genomeAssemblyAsReported,organism,hg38Chromosome,hg38Start,hg38End,geneName,geneID,organ,tissue,cell,functionalYN,methodAssay,relevantText,page,title,firstAuthor,pubYear,journal,volumePageNumber,doi,pmid,curator,comments
142,"PRE
[rs11209032 G]; [rs11209032 A]",1,67739940,67741075,hg19,Human,1,67274257,67275392,Unknown,Unknown,Cell Line,,HEK293T Cell Line,Y,Luciferase Assay,"We used luciferase reporter assays to confirm the effect of rs11209032 genotype on
enhancer activity.",2153,An ankylosing spondylitis-associated genetic variant in the IL23R-IL12RB2 intergenic region modulates enhancer activity and is associated with increased Th1-cell differentiation,"Roberts, A. R.",2016,Annals of Rheumatic Diseases,"75, 2150, 2156",10.1136/annrheumdis-2015-208640,26916345,Charmaine,
177,AB Fragment,16,11348872,11349115,hg19,Human,1,11255015,11255258,Unknown,Unknown,Cell Line,,HEK293 Cell Line,Y,Reporter Assay,"Next, we sought to investigate whether the observed enhancer DNA hypermethylation was functional and able to disrupt the enhancer function.",15779,Pre-neoplastic epigenetic disruption of transcriptional enhancers in chronic inflammation,"Planello, A. C.",2016,Oncotarget,"7, 15772-15586",10.18632/oncotarget.7513,26908456,Charmaine,
178,A Fragment,16,11348973,11349115,hg19,Human,16,11255116,11255258,Unknown,Unknown,Cell Line,,HEK293 Cell Line,Y,Reporter Assay,"Next, we sought to investigate whether the observed enhancer DNA hypermethylation was functional and able to disrupt the enhancer function.",15779,Pre-neoplastic epigenetic disruption of transcriptional enhancers in chronic inflammation,"Planello, A. C.",2016,Oncotarget,"7, 15772-15586",10.18632/oncotarget.7513,26908456,Charmaine,
179,C Fragment,16,11348544,11348676,hg19,Human,16,11254687,11254819,Unknown,Unknown,Cell Line,,HEK293 Cell Line,Y,Reporter Assay,"Next, we sought to investigate whether the observed enhancer DNA hypermethylation was functional and able to disrupt the enhancer function.",15779,Pre-neoplastic epigenetic disruption of transcriptional enhancers in chronic inflammation,"Planello, A. C.",2016,Oncotarget,"7, 15772-15586",10.18632/oncotarget.7513,26908456,Charmaine,
217,E250,11,112393446,112393851,mm9,Mouse,17,71859947,71860300,Unknown,Unknown,Embryo,Choroid Plexus Epithelium,,Y,Transgenic Reporter Mice,We assayed the activity of all new Sox9 enhancer-promoter pWHERE reporters in transgenic mice.,5399,The SOX9 upstream region prone to chromosomal aberrations causing campomelic dysplasia contains multiple cartilage enhancers,"Yao, B.",2015,Nucleic Acids Research,"43, 5394-5408",10.1093/nar/gkv426,25940622,Charmaine,
226,"Locus 1 Enhancer
(rs2242193, G Allele); (rs2242193, A Allele)",1,154995247,154996255,hg19,Human,1,155022771,155023779,Unknown,Unknown,Cell Line,,MCF7 Cell Line,Y,Luciferase Assay,"To address whether the in silico selected PRRs exhibit enhancer activity modulated by ER and/or AR, we conducted dual luciferase reporter gene assays in MCF7 and
PC-3 cells transiently co-transfected with different pGL4.26 reporter constructs, along with pRLSV40 control vector.",4818,In silico identification and functional validation of alleledependent AR enhancers,"Garritano, S.",2015,Oncotarget,"6, 4816-4828",10.18632/oncotarget.3019,25693204,Charmaine,
227,"Locus 2 Enhancer
(rs9521825, G Allele);(rs9521825, A Allele)",13,111193180,111194384,hg19,Human,13,110540833,110542037,Unknown,Unknown,Cell Line,,MCF7 Cell Line,Y,Luciferase Assay,"To address whether the in silico selected PRRs exhibit enhancer activity modulated by ER and/or AR, we conducted dual luciferase reporter gene assays in MCF7 and
PC-3 cells transiently co-transfected with different pGL4.26 reporter constructs, along with pRLSV40 control vector.",4818,In silico identification and functional validation of alleledependent AR enhancers,"Garritano, S.",2015,Oncotarget,"6, 4816-4828",10.18632/oncotarget.3019,25693204,Charmaine,
228,"Locus 2 Enhancer
(rs9521825, G Allele); (rs9521825, A Allele)",13,111193180,111194384,hg19,Human,13,110540833,110542037,Unknown,Unknown,Cell Line,,PC-3 Cell Line,Y,Luciferase Assay,"To address whether the in silico selected PRRs exhibit enhancer activity modulated by ER and/or AR, we conducted dual luciferase reporter gene assays in MCF7 and
PC-3 cells transiently co-transfected with different pGL4.26 reporter constructs, along with pRLSV40 control vector.",4818,In silico identification and functional validation of alleledependent AR enhancers,"Garritano, S.",2015,Oncotarget,"6, 4816-4828",10.18632/oncotarget.3019,25693204,Charmaine,
241,CRM 1,5,141072651,141073152,mm9,Mouse,Not Found,Not Found,Not Found,Unknown,Unknown,Cell Line,,P5424 cells,Y,Luciferase Assay,"To independently confirm the accuracy of CapStarr-seq to identify active enhancers and to discriminate between weak and strong enhancer activity, we tested 45 CRMs in a classical luciferase reporter assay (Fig. 1d and Supplementary Data 3).",2,"High-throughput and quantitative assessment of enhancer activity in mammals by
CapStarr-seq","Vanhille, L.",2015,Nature communications,"6, 6905",10.1038/ncomms7905,25872643,Charmaine,Validation of CapStarr-seq
242,CRM 2,6,120416586,120417080,mm9,Mouse,Not Found,Not Found,Not Found,Unknown,Unknown,Cell Line,,P5424 cells,Y,Luciferase Assay,"To independently confirm the accuracy of CapStarr-seq to identify active enhancers and to discriminate between weak and strong enhancer activity, we tested 45 CRMs in a classical luciferase reporter assay (Fig. 1d and Supplementary Data 3).",2,"High-throughput and quantitative assessment of enhancer activity in mammals by
CapStarr-seq","Vanhille, L.",2015,Nature communications,"6, 6905",10.1038/ncomms7905,25872643,Charmaine,Validation of CapStarr-seq
243,CRM 3,14,26336672,26337172,mm9,Mouse,10,79137845,79138107,Unknown,Unknown,Cell Line,,P5424 cells,Y,Luciferase Assay,"To independently confirm the accuracy of CapStarr-seq to identify active enhancers and to discriminate between weak and strong enhancer activity, we tested 45 CRMs in a classical luciferase reporter assay (Fig. 1d and Supplementary Data 3).",2,"High-throughput and quantitative assessment of enhancer activity in mammals by
CapStarr-seq","Vanhille, L.",2015,Nature communications,"6, 6905",10.1038/ncomms7905,25872643,Charmaine,Validation of CapStarr-seq
244,CRM 4,11,52152941,52153436,mm9,Mouse,Not Found,Not Found,Not Found,Unknown,Unknown,Cell Line,,P5424 cells,Y,Luciferase Assay,"To independently confirm the accuracy of CapStarr-seq to identify active enhancers and to discriminate between weak and strong enhancer activity, we tested 45 CRMs in a classical luciferase reporter assay (Fig. 1d and Supplementary Data 3).",2,"High-throughput and quantitative assessment of enhancer activity in mammals by
CapStarr-seq","Vanhille, L.",2015,Nature communications,"6, 6905",10.1038/ncomms7905,25872643,Charmaine,Validation of CapStarr-seq
245,CRM 5,14,54846943,54847438,mm9,Mouse,14,22556273,22556631,Unknown,Unknown,Cell Line,,P5424 cells,Y,Luciferase Assay,"To independently confirm the accuracy of CapStarr-seq to identify active enhancers and to discriminate between weak and strong enhancer activity, we tested 45 CRMs in a classical luciferase reporter assay (Fig. 1d and Supplementary Data 3).",2,"High-throughput and quantitative assessment of enhancer activity in mammals by
CapStarr-seq","Vanhille, L.",2015,Nature communications,"6, 6905",10.1038/ncomms7905,25872643,Charmaine,Validation of CapStarr-seq
